"index","id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
0,"li-4309196409","linkedin","https://www.linkedin.com/jobs/view/4309196409","","AI / ML Engineer","Accenture services Pvt Ltd","Bengaluru, Karnataka, India","2025-10-05","","","","","","",False,"","","","","About the job

Project Role : AI / ML Engineer

Project Role Description : Develops applications and systems that utilize AI tools, Cloud AI services, with proper cloud or on-prem application pipeline with production ready quality. Be able to apply GenAI models as part of the solution. Could also include but not limited to deep learning, neural networks, chatbots, image processing.

Must have skills : Large Language Models

Good to have skills : NA

Minimum 3 Year(s) Of Experience Is Required

Educational Qualification : 15 years full time education

Summary: As an AI / ML Engineer, you will engage in the development of applications and systems that leverage artificial intelligence tools and cloud AI services. Your typical day will involve designing and implementing production-ready solutions, ensuring that they meet quality standards. You will work with various AI models, including generative AI, and may also explore deep learning, neural networks, chatbots, and image processing technologies. Collaboration with team members and stakeholders will be essential as you contribute to innovative projects that push the boundaries of AI capabilities. Roles & Responsibilities: - Expected to perform independently and become an SME. - Required active participation/contribution in team discussions. - Contribute in providing solutions to work related problems. - Assist in the design and implementation of AI-driven applications and systems. - Collaborate with cross-functional teams to integrate AI solutions into existing workflows. Professional & Technical Skills: - Must To Have Skills: Proficiency in Large Language Models. - Experience with cloud-based AI services and deployment pipelines. - Strong understanding of deep learning frameworks and neural network architectures. - Familiarity with chatbot development and natural language processing techniques. - Knowledge of image processing algorithms and their applications. Additional Information: - The candidate should have minimum 3 years of experience in Large Language Models. - This position is based at our Bengaluru office. - A 15 years full time education is required.","","https://www.linkedin.com/company/syntel-private-limited","","","","","","","","","","","",""
1,"li-4309162119","linkedin","https://www.linkedin.com/jobs/view/4309162119","","Gen AI Developer","Infosys","Bengaluru East, Karnataka, India","2025-10-04","","","","","","",False,"","","","","About the job

Primary skills: Technology->Artificial Intelligence->Computer Vision, Technology->Big Data->Natural language processing(NLP), Technology->Machine Learning->Python


 Data collection and preparation: Collect and prepare data for training and evaluating LLMs. This may involve cleaning and processing text data, or creating synthetic data
 Model development: Design and implement LLM models. This may involve choosing the right architecture, training the model, and tuning the hyperparameters
 Model evaluation: Evaluate the performance of LLM models. This may involve measuring the accuracy of the model on a held-out dataset, or assessing the quality of the generated text
 Model deployment: Deploy LLM models to production. This may involve packaging the model, creating a REST API, and deploying the model to a cloud computing platform.
 Responsible AI: Should have proficient knowledge in Responsible AI and Data Privacy principles to ensure ethical data handling, transparency, and accountability in all stages of AI development. Must demonstrate a commitment to upholding privacy standards, mitigating bias, and fostering trust within data-driven initiatives.
 Experience in working with ML toolkit like R, NumPy, MatLab etc..
 Experience in data mining, statistical analysis and data visualization


Ability to develop value-creating strategies and models that enable clients to innovate, drive growth and increase their business profitability


 Good knowledge on software configuration management systems
 Awareness of latest technologies and Industry trends","","https://in.linkedin.com/company/infosys","","","","","","","","","","","",""
2,"li-4308357366","linkedin","https://www.linkedin.com/jobs/view/4308357366","","AI Engineer","Aira","Bengaluru, Karnataka, India","2025-10-04","","","","","","",False,"","","","","About the job
This job is sourced from a job board. Learn More

Location: Bangalore

Experience: 1–3 years

Employment Type: Full-time

About Aira Ai

At AiRA, we are building the world’s most advanced personal AI, designed to blend seamlessly into daily life. Our systems remember context, anticipate what matters next, and respond with personality to make every interaction feel effortless and human. We are driven by memory, proactivity, and trust, creating an AI that feels less like a tool and more like a collaborator that is always learning, guiding, and evolving alongside you.

Role Summary

We are looking for a highly motivated AI Engineer to join our core team. From day one, your work will help shape the intelligence of our product, working directly on advanced AI infrastructure with experienced engineers.

Key Responsibilities


Design and build core AI systems that combine LLMs, retrieval, and memory to power conversational intelligence
Prototype rapidly with new models and techniques, evaluate their performance, and productionize the best approaches
Engineer scalable and reliable backend components in Python (FastAPI, asyncio) to support real-time user interactions
Architect Retrieval Augmented Generation (RAG) pipelines with vector and graph databases to enable long-term context and personalization
Work closely with product and frontend teams to integrate AI features seamlessly into the user experience
Stay current with AI research and apply new ideas to continually improve our systems
WHAT WE EXPECT
Strong Python skills with the ability to ship clean, reliable, and scalable production code
Experience designing real-time backend systems (FastAPI, asyncio) for high-performance applications
Hands-on expertise with LLMs, from integrating APIs (OpenAI, Gemini, etc.) to evaluating and optimizing outputs for real use cases
Ability to design effective prompts and build Retrieval Augmented Generation (RAG) pipelines using vector and graph databases
Familiarity with intelligent agent design and multi-agent orchestration
Solid foundation in data structures, algorithms, and system design, with the pragmatism to apply them in production
Clear communication skills, attention to detail, and a strong sense of ownership in a fast-moving startup environment


WHY JOIN US

Impact: Your work directly shapes our AI’s intelligence

Learning: Exposure to advanced AI stacks and multi-agent systems

Culture: High standards, precision, and engineering excellence

Growth: Accelerate your career with equity and rapid responsibilities

Skills:- Artificial Intelligence (AI) and Python","","https://uk.linkedin.com/company/aira-digital","","","","","","","","","","","",""
3,"li-4309450601","linkedin","https://www.linkedin.com/jobs/view/4309450601","","AI/DNA-Data Scientists","Infosys","Bengaluru East, Karnataka, India","","","","","","","",False,"","","","","About the job

Required Skills & Experience


 4+ years of relevant in advanced analytics and model development.
 4+ years of hands-on experience in Python and other open-source analytical tools.
 Strong expertise in data analytics, data handling, and statistical programming using modern IT tools.
 Understanding of Data Warehousing, Business Intelligence, and AI-based solutions.
 Proven experience in Agile methodologies, including iterative development and sprint planning.
 Experience working in highly regulated environments, ensuring data governance and compliance.
 Experience with machine learning frameworks (e.g., scikit-learn, TensorFlow, PyTorch).
 Exposure to cloud platforms (AWS, Azure, GCP).
 Familiarity with release governance processes and incident management tools (e.g., ServiceNow, JIRA). ________________________________________ Key Responsibilities
 Work on end-to-end data science engagements from problem definition to solution development.
 Design and implement advanced analytical models and process frameworks.
 Collaborate with different stakeholders, providing domain and technical thought.
 Perform Fit/Gap analysis and translate business needs into actionable data solutions.
 Ensure compliance with release governance and manage incidents using industry-standard tools.
 Contribute to Unit/Organizational initiatives, including Centers of Excellence (COEs). ________________________________________","","https://in.linkedin.com/company/infosys","","","","","","","","","","","",""
4,"li-4309464041","linkedin","https://www.linkedin.com/jobs/view/4309464041","","Associate Data Scientist","Infosys","Bengaluru East, Karnataka, India","","","","","","","",False,"","","","","About the job

Technical skills


 Programming: Python, R, SQL
 ML algorithms:
 Statistical ML algorithms
 Deep Neural Network architectures
 Model ensembling
 Generative AI models
 ML for Responsible AI
 AI domains - NLP, speech, computer vision, structured data
 Learning patterns – supervised, unsupervised, reinforcement learning
 Tools for data analysis, auto ML, model deployment & scaling, model fine tuning
 Knowledge of different Model fine tuning approaches for Large models
 Knowledge of datasets, pre-built models available in open community and 3rd party providers
 Knowledge of software development & architectures
 Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
 Knowledge of Model Quantization and Pruning
 Past experience playing a Data Scientist role Technical skills
 Programming: Python, R, SQL
 ML algorithms:
 Statistical ML algorithms
 Deep Neural Network architectures
 Model ensembling
 Generative AI models
 ML for Responsible AI
 AI domains - NLP, speech, computer vision, structured data
 Learning patterns – supervised, unsupervised, reinforcement learning
 Tools for data analysis, auto ML, model deployment & scaling, model fine tuning
 Knowledge of different Model fine tuning approaches for Large models
 Knowledge of datasets, pre-built models available in open community and 3rd party providers
 Knowledge of software development & architectures
 Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
 Knowledge of Model Quantization and Pruning
 Past experience playing a Data Scientist role","","https://in.linkedin.com/company/infosys","","","","","","","","","","","",""
5,"li-4309489875","linkedin","https://www.linkedin.com/jobs/view/4309489875","","Machine Learning Engineer","Recro","Bengaluru, Karnataka, India","","","","","","","",False,"","","","","Could not retrieve full description.","","https://in.linkedin.com/company/recro-io","","","","","","","","","","","",""
9,"li-4309493880","linkedin","https://www.linkedin.com/jobs/view/4309493880","","AI/ML Engineer (Gen AI)","Apexon","Bengaluru, Karnataka, India","","","","","","","",False,"","","","","About the job

Position : AI/ML (Gen AI)

Experience : 5+ years of experience in AI/ML

Work Mode : Office

Work Location : Bangalore, Pune, Mumbai, Hyderabad, Chennai, Coimbatore, Ahmedabad

Interview Mode : 1st round Virtual | 2nd round F2F at Bangalore or Pune




About Apexon:

Apexon is a digital-first technology services firm specializing in accelerating business transformation and delivering human-centric digital experiences. We have been meeting customers wherever they are in the digital lifecycle and helping them outperform their competition through speed and innovation.Apexon brings together distinct core competencies in AI, analytics, app development, cloud, commerce, CX, data, DevOps, IoT, mobile, quality engineering and UX, and our deep expertise in BFSI, healthcare, and life sciences to help businesses capitalize on the unlimited opportunities digital offers. Our reputation is built on a comprehensive suite of engineering services, a dedication to solving clients toughest technology problems, and a commitment to continuous improvement. Backed by Goldman Sachs Asset Management and Everstone Capital, Apexon now has a global presence of 15 offices (and 10 delivery centers) across four continents. 

We enable #HumanFirstDigital

Job Description

We are seeking a highly skilled and motivated Software Developer with a strong background in Python to join our team. The ideal candidate will have a passion for developing automation tools to streamline our operations and reduce repetitive tasks. Additionally, the candidate will have the opportunity to contribute to our Gen AI projects, making this a great opportunity for those interested in the AI field.

Responsibilities

Candidate should have a minimum of 6+ years overall Experience
Relevant should be at least 3- 5 years with lead exp
Design, develop, and implement AI applications using Python or C#.
Work on Gen AI projects and develop tools that help the organization in reducing repetitive jobs.
Collaborate with cross-functional teams to define, design, test and ship new features.
Conduct regular testing of systems and software to ensure optimal functioning.
Troubleshoot and resolve issues and defects in AI applications.
Stay updated with the latest industry trends and technologies to ensure applications are current.
Provide technical guidance and coaching to developers and engineers.

Skills

Proven experience as an AI Developer or similar role.
Proficiency in Python
Good understanding multiple of Gen AI models (ChatGPT, LLAMA2, Mistral) and ability to setup up local GPTs using ollama, lm studio etc.
Good understanding of RAG
Multi agents frameworks to create workflows
Langchain or similar tools like lamaindex, langgraph etc.
Knowledge of Machine Learning frameworks, libraries, and tools.
Strong understanding of algorithms and data structures.
Excellent problem-solving skills and solution mindset
Strong communication and teamwork skills.
Ability to work independently and manage ones time effectively.




Our Commitment to Diversity & Inclusion:

Did you know that Apexon has been Certified by Great Place To Work, the global authority on workplace culture, in each of the three regions in which it operates: USA (for the fourth time in 2023), India (seven consecutive certifications as of 2023), and the UK.Apexon is committed to being an equal opportunity employer and promoting diversity in the workplace. We take affirmative action to ensure equal employment opportunity for all qualified individuals. Apexon strictly prohibits discrimination and harassment of any kind and provides equal employment opportunities to employees and applicants without regard to gender, race, color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. You can read about our Job Applicant Privacy policy here Job Applicant Privacy Policy (apexon.com)




Our Perks and Benefits:

Our benefits and rewards program has been thoughtfully designed to recognize your skills and contributions, elevate your learning/upskilling experience and provide care and support for you and your loved ones. As an Apexon Associate, you get continuous skill-based development, opportunities for career advancement, and access to comprehensive health and well-being benefits and assistance.

We also offer:

Group Health Insurance covering family of 4
Term Insurance and Accident Insurance
Paid Holidays & Earned Leaves
Paid Parental Leave
Learning & Career Development
Employee Wellness","","https://www.linkedin.com/company/apexon","","","","","","","","","","","",""
10,"li-4287671139","linkedin","https://www.linkedin.com/jobs/view/4287671139","","Data Scientist, Product Analytics","Meta","Bengaluru, Karnataka, India","","","","","","","",False,"","","","","About the job

As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical approach, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a wide-range of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development's biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Meta. You will help your partner teams prioritize what to build, set goals, and understand their product's ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a varied toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won't simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.

Data Scientist, Product Analytics Responsibilities:


Defining new opportunities for product impact Influencing product and sales to solve the most impactful market problems
Apply your expertise in quantitative analysis and the presentation of data to see beyond the numbers and understand how our users interact with our growth products
Work as a key member of the product team to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches in partnership with Product, Engineering, and cross-functional teams
Set KPIs and goals, design and evaluate experiments, monitor key product metrics, understand root causes of changes in metrics
Exploratory analysis to discover new opportunities: understanding ecosystems, user behaviors, and long-term trends Identifying levers to help move key metrics


Minimum Qualifications:


Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent
4+ years experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)
4+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]
Candidate must remain in role in the same team in India for a minimum period of 24 months before being eligible for transfer to another role, team or location


Preferred Qualifications:


Master's or Ph.D. Degree in a quantitative field


About Meta:

Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.

Individual compensation is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base hourly rate, monthly rate, or annual salary only, and do not include bonus, equity or sales incentives, if applicable. In addition to base compensation, Meta offers benefits. Learn more about  benefits  at Meta.","","https://www.linkedin.com/company/meta","","","","","","","","","","","",""
12,"li-4309464992","linkedin","https://www.linkedin.com/jobs/view/4309464992","","Data Scientist","Infosys","Bengaluru East, Karnataka, India","","","","","","","",False,"","","","","About the job

Master's degree in Computer Science, Statistics, Mathematics, or a related field.
 7+ years of experience in data science and machine learning with a strong focus on model development and deployment.
 Expert-level knowledge of statistics, including probability theory, hypothesis testing, and statistical inference.
 In-depth knowledge of machine learning algorithms, including linear regression, logistic regression, decision trees, random forests, xgboost, and ensemble learning.


Evaluate the performance of machine learning models and refine them to improve accuracy andgeneralizability.


 Communicate data insights to stakeholders in a clear and concise manner, using data visualization techniques and storytelling.
 collaborate with data engineers, software developers, and business stakeholders to integrate data science solutions into products and services.
 Stay up-to-date with the latest trends and developments in data science, machine learning, and artificial intelligence.
 Experience with Natural Language Processing (NLP) and Computer Vision (CV) techniques.
 Knowledge of DevOps methodologies and practices for continuous integration/continuous delivery (CI/CD).
 Experience with data warehousing and data lakes solutions like BigQuery or Snowflake.
 Familiarity with real-time data processing and streaming analytics.
 Passion for learning and staying at the forefront of data science and machine learning advancements.","","https://in.linkedin.com/company/infosys","","","","","","","","","","","",""
14,"li-4310690987","linkedin","https://www.linkedin.com/jobs/view/4310690987","","Technologist, Software Development- AI agentic, Kubernetes, AI/ML framework, python","Sandisk","Bengaluru, Karnataka, India","","","","","","","",False,"","","","","About the job

Company Description

Sandisk understands how people and businesses consume data and we relentlessly innovate to deliver solutions that enable today’s needs and tomorrow’s next big ideas. With a rich history of groundbreaking innovations in Flash and advanced memory technologies, our solutions have become the beating heart of the digital world we’re living in and that we have the power to shape.

Sandisk meets people and businesses at the intersection of their aspirations and the moment, enabling them to keep moving and pushing possibility forward. We do this through the balance of our powerhouse manufacturing capabilities and our industry-leading portfolio of products that are recognized globally for innovation, performance and quality.

Sandisk has two facilities recognized by the World Economic Forum as part of the Global Lighthouse Network for advanced 4IR innovations. These facilities were also recognized as Sustainability Lighthouses for breakthroughs in efficient operations. With our global reach, we ensure the global supply chain has access to the Flash memory it needs to keep our world moving forward.

Job Description

Position Overview 

We are seeking a seasoned Senior AI Infrastructure Engineer specializing in AI-driven automation, Kubernetes orchestration, and containerized AI/ML workloads. This role focuses on architecting intelligent systems that leverage AI agentic workflows for automated product validation and testing at scale through advanced container orchestration.

Key Responsibilities

AI Workflow Architecture & Implementation 


Design and implement AI-driven test creation systems that automatically generate comprehensive test cases using machine learning models and historical data analysis 
Architect intelligent monitoring solutions leveraging AI/ML algorithms to predict system failures, optimize test coverage, and enable proactive issue resolution 
Develop autonomous testing agents capable of adaptive test execution, self-healing infrastructure, and intelligent decision-making 
Integrate large language models (LLMs), and AI decision-making frameworks into automated test orchestration workflows 
Build AI pipelines that analyze product performance data to continuously improve validation strategies 


Kubernetes & Container Orchestration 


Design, implement, and optimize Kubernetes clusters specifically for AI/ML workloads and containerized testing environments 
Develop custom Kubernetes operators and controllers for AI workflow management and automated container lifecycle operations 
Architect scalable container orchestration solutions supporting both AI model inference and training workloads across diverse hardware configurations 
Implement advanced Kubernetes patterns including multi-cluster management, resource optimization, and intelligent workload scheduling 
Design container-native AI platforms with automated scaling, resource allocation, and performance optimization 
Design and implement comprehensive monitoring solutions using Prometheus, Grafana, and related CNCF tools 


Technical Leadership & AI System Architecture 


Lead a team of 3-5 engineers specializing in AI/ML infrastructure, container platforms, and intelligent automation systems 
Drive architectural decisions for complex AI-driven projects involving containerized workloads and intelligent system integration 
Establish best practices for AI workflow development, container security, and MLOps processes 
Mentor team members on advanced Kubernetes patterns, AI system design, and containerization strategies for ML workloads 


Qualifications

Experience & Technical Skills 


BE/B.Tech/ME/M.Tech degree in Electronics & Electrical Engineering, Computer Engineering or related field 
10-14 years of overall professional experience 
5+ years of hands-on experience with Kubernetes in production, including custom operators, controllers, and AI/ML workload management 
4+ years of experience implementing AI/ML workflows in production environments, particularly for automation and intelligent testing. 
3+ years of experience in containerized application development and container orchestration for AI/ML systems 
Proven track record of leading technical teams (3-5 people) and delivering AI-driven infrastructure projects 


Core Technical Competencies 


Expert-level Kubernetes expertise: K8s, Helm, custom operators, resource management, and ML-specific configurations 
Advanced AI/ML framework proficiency: TensorFlow, PyTorch, LangChain, MLflow or similar tools and AI model deployment patterns 
Strong programming skills: Python, Go, or Rust with focus on AI workflow development and container/Docker orchestration 
AI system architecture: Experience with agentic AI systems, LLM & RAG integration, and intelligent automation frameworks 


Leadership & Communication 


Demonstrated ability to lead cross-functional teams focused on AI infrastructure and intelligent system development 
Strong project management skills with experience delivering AI-driven automation projects 
Excellent technical communication skills with ability to explain complex AI and container concepts to diverse stakeholders 
Experience mentoring engineers in AI system design, Kubernetes administration, and containerization best practice 


Additional Information

Sandisk thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.

Sandisk is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at jobs.accommodations@sandisk.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.","","https://www.linkedin.com/company/sandisk","","","","","","","","","","","",""
